ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Inventario;Precio rebajado;Precio normal
107763;simple;HC19AJ433;AFEITADORA - 2 EN 1;1;visible;18/06/19 0:00;26/06/19 0:00;100;;70000
63823;simple;HC19AJ257;AGUA DE HAMAMELIS;1;visible;18/06/19 0:00;26/06/19 0:00;88;;11000
63817;simple;HC19AJ256;AGUA DE ROSAS;1;visible;18/06/19 0:00;26/06/19 0:00;86;;11000
35102;simple;HC19AJ15;AQUARIUM GLITTER;'-1;visible;;;;25000;50000
52292;variable;HC19AJ236;ARO LED SELFIE;1;visible;18/06/19 0:00;26/06/19 0:00;;;
52299;variation;HC19AJ237;ARO LED SELFIE - AZUL;0;visible;;;;;15000
52304;variation;HC19AJ240;ARO LED SELFIE - BLANCO;1;visible;18/06/19 0:00;26/06/19 0:00;37;;15000
52300;variation;HC19AJ238;ARO LED SELFIE - NEGRO;1;visible;18/06/19 0:00;26/06/19 0:00;86;;15000
52303;variation;HC19AJ239;ARO LED SELFIE - ROSA;1;visible;18/06/19 0:00;26/06/19 0:00;10;;15000
35326;variable;HC19AJ36;BASE PRO MATTE FOUNDATION;1;visible;18/06/19 0:00;26/06/19 0:00;;;
41428;variation;HC19AJ211;BASE PRO MATTE FOUNDATION;1;visible;18/06/19 0:00;26/06/19 0:00;;;
35347;variation;HC19AJ37;BASE PRO MATTE FOUNDATION - GLM671;0;visible;;;0;20000;35000
35348;variation;HC19AJ38;BASE PRO MATTE FOUNDATION - GLM672;0;visible;;;;20000;35000
35349;variation;HC19AJ39;BASE PRO MATTE FOUNDATION - GLM673;0;visible;;;0;20000;35000
35350;variation;HC19AJ40;BASE PRO MATTE FOUNDATION - GLM674;0;visible;;;0;20000;35000
35351;variation;HC19AJ41;BASE PRO MATTE FOUNDATION - GLM675;0;visible;;;0;20000;35000
35352;variation;HC19AJ42;BASE PRO MATTE FOUNDATION - GLM676;0;visible;;;0;20000;35000
35361;variation;HC19AJ50;BASE PRO MATTE FOUNDATION - GLM677;0;visible;;;6;20000;35000
35353;variation;HC19AJ43;BASE PRO MATTE FOUNDATION - GLM678;0;visible;;;1;20000;35000
35354;variation;HC19AJ44;BASE PRO MATTE FOUNDATION - GLM679;0;visible;;;1;20000;35000
35355;variation;HC19AJ45;BASE PRO MATTE FOUNDATION - GLM680;0;visible;;;2;20000;35000
35356;variation;HC19AJ46;BASE PRO MATTE FOUNDATION - GLM681;0;visible;;;0;20000;35000
35357;variation;HC19AJ47;BASE PRO MATTE FOUNDATION - GLM682;1;visible;18/06/19 0:00;26/06/19 0:00;3;20000;35000
35358;variation;HC19AJ48;BASE PRO MATTE FOUNDATION - GLM683;0;visible;;;1;20000;35000
35359;variation;HC19AJ49;BASE PRO MATTE FOUNDATION - GLM684;1;visible;18/06/19 0:00;26/06/19 0:00;0;20000;35000
104134;variable;HC19AJ417;BASE TRULY MATTE L.A COLORS;1;visible;18/06/19 0:00;26/06/19 0:00;;;
104256;variation;HC19AJ425;BASE TRULY MATTE L.A COLORS - CAFE CLM360;1;visible;18/06/19 0:00;26/06/19 0:00;6;;30000
