SKU;NOMBRE;VISIBLE;DIA EN QUE EMPIENZA LA REBAJA;DIA EN QUE TERMINA LA REBAJA;PRECIO REBAJADO;PRECIO NORMAL
HC19AJ433;AFEITADORA - 2 EN 1;1;;;;70000
HC19AJ257;AGUA DE HAMAMELIS;1;;;;11000
HC19AJ256;AGUA DE ROSAS;1;;;;11000
HC19AJ236;ARO LED SELFIE;1;;;;
HC19AJ237;ARO LED SELFIE - AZUL;0;;;;15000
HC19AJ240;ARO LED SELFIE - BLANCO;1;;;;15000
HC19AJ238;ARO LED SELFIE - NEGRO;1;;;;15000
HC19AJ239;ARO LED SELFIE - ROSA;1;;;;15000
HC19AJ211;BASE PRO MATTE FOUNDATION;1;;;;
HC19AJ50;BASE PRO MATTE FOUNDATION - GLM677;0;;;;35000
HC19AJ44;BASE PRO MATTE FOUNDATION - GLM679;0;;;;35000
HC19AJ45;BASE PRO MATTE FOUNDATION - GLM680;0;;;;35000
HC19AJ46;BASE PRO MATTE FOUNDATION - GLM681;0;;;;35000
HC19AJ47;BASE PRO MATTE FOUNDATION - GLM682;1;;;;35000
HC19AJ48;BASE PRO MATTE FOUNDATION - GLM683;0;;;;35000
HC19AJ49;BASE PRO MATTE FOUNDATION - GLM684;1;;;;35000
HC19AJ417;BASE TRULY MATTE L.A COLORS;1;;;;
HC19AJ425;BASE TRULY MATTE L.A COLORS - CAFE CLM360;1;;;;30000
HC19AJ426;BASE TRULY MATTE L.A COLORS - CAPPUCINO CLM363;1;;;;30000
HC19AJ427;BASE TRULY MATTE L.A COLORS - MAHAGANY CLM364;1;;;;30000
HC19AJ424;BASE TRULY MATTE L.A COLORS - MEDIUM BEIGE CLM356;1;;;;30000
HC19AJ423;BASE TRULY MATTE L.A COLORS - SAND CLM355;1;;;;30000
HC19AJ422;BASE TRULY MATTE L.A COLORS - SOFT BEIGE CLM354;1;;;;30000
HC19AJ202;BEAUTY BLENDER SNAPCHIC;'-1;;;;20000
HC19AJ428;BROCHA PARA MASCARILLA ROSA;1;;;;6000
HC19AJ93;BROCHAS BH CRYSTAL QUARTZ BH COSMETICS;1;;;;55000
HC19AJ410;BROCHAS BH GRAY BH COSMETICS;1;;;;50000
HC19AJ92;BROCHAS BH ROSE ROMANCE BH COSMETICS;1;;;;50000
HC19AJ401;BROCHAS BH SIGNATURE ROSE GOLD BLACK BH COSMETICS;1;;;;65000
HC19AJ409;BROCHAS BH SIGNATURE ROSSE GOLD WHITE;1;;;;65000
HC19AJ212;BROCHAS CONCHA;1;;;;40000
HC19AJ411;BROCHAS DIAMANTE DORADO;1;;;;48000
HC19AJ429;BROCHAS GALAXY PLATINUIM;1;;;;45000
HC19AJ419;BROCHAS GALAXY ROSA;1;;;;45000
HC19AJ228;BROCHAS ORO ROSA;1;;;;45000
HC19AJ412;BROCHAS PIEDRA ROSA;1;;;;30000
HC19AJ415;BROCHAS SECRET ROSE;1;;;;45000
HC19AJ218;BROCHAS SEMIPROFESIONAL 18 PCS;1;;;;48000
HC19AJ418;BROCHAS SIRENA AZUL;1;;;;45000
HC19AJ416;BROCHAS SWEETS;1;;;;45000
HC19AJ249;BRUSH CRUSH;'-1;;;;20000
HC19AJ220;CEPILLO PARA CEJAS O PESTAÑAS X 10PCS;1;;;;5000
HC19AJ399;CEPILLO SEPADOR DE PESTAÑAS;1;;;;7000
HC19AJ242;COMBO ARCOIRIS;'-1;;;;60000
HC19AJ206;COMBO BEAUTY;'-1;;;;20000
HC19AJ262;COMBO BEAUTY;'-1;;;;60000
HC19AJ199;COMBO BH;'-1;;;;50000
HC19AJ285;COMBO BRONCE;'-1;;;;50000
HC19AJ198;COMBO CARACOL;'-1;;;;20000
HC19AJ283;COMBO CHIC;'-1;;;;50000
HC19AJ263;COMBO CLEANING ROSAS;'-1;;;;90000
HC19AJ197;COMBO COLOSSAL;'-1;;;;50000
HC19AJ232;COMBO CONCHA;'-1;;;;60000
HC19AJ264;COMBO CONTROL OIL;'-1;;;;90000
HC19AJ205;COMBO DEPILADOR;'-1;;;;30000
HC19AJ233;COMBO DEPILADOR CRYSTAL;'-1;;;;25000
HC19AJ243;COMBO ESPECIAL;'-1;;;;80000
HC19AJ241;COMBO FACIAL GLITTER;'-1;;;;60000
HC19AJ265;COMBO FACIAL ROSE;'-1;;;;30000
HC19AJ294;COMBO FLAW;'-1;;;;100000
HC19AJ266;COMBO LASH;'-1;;;;20000
HC19AJ203;COMBO LUNA;'-1;;;;90000
HC19AJ284;COMBO LUNA BELLA;'-1;;;;80000
HC19AJ291;COMBO MIRROR;'-1;;;;50000
HC19AJ255;COMBO OLLA +(1) PERLAS 500 GR;1;;;;60000
HC19AJ281;COMBO PILI HAMAMELIS;'-1;;;;70000
HC19AJ280;COMBO PILI ROSA;'-1;;;;70000
HC19AJ88;COMBO PLANCHA + RIZADOR;'-1;;;;
HC19AJ91;COMBO PLANCHA + RIZADOR - MORADO;1;;;;40000
HC19AJ89;COMBO PLANCHA + RIZADOR - ROSA;1;;;;40000
HC19AJ90;COMBO PLANCHA + RIZADOR - VERDE MENTA;1;;;;40000
HC19AJ244;COMBO PLATA;'-1;;;;50000
HC19AJ204;COMBO REAL NUDE;'-1;;;;50000
HC19AJ245;COMBO ROSE;'-1;;;;50000
HC19AJ282;COMBO SAUNA;'-1;;;;110000
HC19AJ196;COMBO SHINY;'-1;;;;40000
HC19AJ246;COMBO SKIN;'-1;;;;20000
HC19AJ234;COMBO SUMMER;'-1;;;;50000
HC19AJ267;COMBO TORNASOL;'-1;;;;30000
HC19AJ195;COMBO WAX;'-1;;;;20000
HC19AJ70;CORRECTOR PRO CONCEALER;1;;;;
HC19AJ71;CORRECTOR PRO CONCEALER - GC990;1;;;;15000
HC19AJ72;CORRECTOR PRO CONCEALER - GC991;0;;;;15000
HC19AJ73;CORRECTOR PRO CONCEALER - GC992;1;;;;15000
HC19AJ74;CORRECTOR PRO CONCEALER - GC993;0;;;;15000
HC19AJ75;CORRECTOR PRO CONCEALER - GC994;0;;;;15000
HC19AJ76;CORRECTOR PRO CONCEALER - GC995;0;;;;15000
HC19AJ77;CORRECTOR PRO CONCEALER - GC996;0;;;;15000
HC19AJ250;COSMETIQUERA TORNASOL;1;;;;
HC19AJ252;COSMETIQUERA TORNASOL - TORNASOL HIELO;1;;;;15000
HC19AJ251;COSMETIQUERA TORNASOL - TORNASOL MORADO;1;;;;15000
HC19AJ286;DEPILADORA FEMENINA REMINGTON;1;;;;
HC19AJ289;DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT;1;;;;40000
HC19AJ290;DEPILADORA FEMENINA REMINGTON - FLORES;1;;;;40000
HC19AJ247;DESMAQUILLADOR DUAL;1;;;;20000
HC19AJ420;ENCRESPADOR RECARGABLE - CARGADOR PORTATIL;1;;;;70000
HC19AJ432;ESPEJO AGUA;1;;;;6000
;ESPEJO EMOJI;1;;;;5000
HC19AJ268;ESPEJO LED;1;;;;
HC19AJ269;ESPEJO LED - BLANCO;1;;;;45000
HC19AJ270;ESPEJO LED - NEGRO;1;;;;45000
HC19AJ271;ESPEJO LED - ROSA;1;;;;45000
HC19AJ52;ESSENTIAL BRUSH COLLECTION;1;;;;
HC19AJ53;ESSENTIAL BRUSH COLLECTION - CBR51;0;31/12/69 0:00;;;16000
HC19AJ54;ESSENTIAL BRUSH COLLECTION - CBR52;0;31/12/69 0:00;;;16000
HC19AJ55;ESSENTIAL BRUSH COLLECTION - CBR53;0;31/12/69 0:00;;;16000
HC19AJ56;ESSENTIAL BRUSH COLLECTION - CBR54;0;31/12/69 0:00;;;16000
HC19AJ57;ESSENTIAL BRUSH COLLECTION - CBR55;0;31/12/69 0:00;;;16000
HC19AJ58;ESSENTIAL BRUSH COLLECTION - CBR56;1;31/12/69 0:00;;;16000
HC19AJ59;ESSENTIAL BRUSH COLLECTION - CBR57;0;31/12/69 0:00;;;16000
HC19AJ60;ESSENTIAL BRUSH COLLECTION - CBR58;1;31/12/69 0:00;;;16000
HC19AJ61;ESSENTIAL BRUSH COLLECTION - CBR59;1;31/12/69 0:00;;;16000
HC19AJ62;ESSENTIAL BRUSH COLLECTION - CBR60;0;31/12/69 0:00;;;16000
HC19AJ63;ESSENTIAL BRUSH COLLECTION - CBR61;1;31/12/69 0:00;;;16000
HC19AJ64;ESSENTIAL BRUSH COLLECTION - CBR62;1;31/12/69 0:00;;;16000
HC19AJ65;ESSENTIAL BRUSH COLLECTION - CBR63;1;31/12/69 0:00;;;16000
HC19AJ66;ESSENTIAL BRUSH COLLECTION - CBR64;1;31/12/69 0:00;;;16000
HC19AJ67;ESSENTIAL BRUSH COLLECTION - CBR65;1;31/12/69 0:00;;;16000
HC19AJ68;ESSENTIAL BRUSH COLLECTION - CBR66;1;31/12/69 0:00;;;16000
HC19AJ200;EXTRACTOR DE PUNTOS NEGROS DIGITAL;1;;;;60000
HC19AJ260;EXTRACTOR FACIAL CON SPRAY DE MICRONIZACIÓN;1;;;;70000
HC19AJ78;FIJADOR CONTROL MATTE;1;;;;20000
HC19AJ293;FLAWLESS BROWS - DEPILADOR DE CEJAS PILA;1;;;;30000
HC19AJ431;FLAWLESS BROWS - DEPILADOR DE CEJAS RECARGABLE;1;;;;40000
HC19AJ292;FLAWLESS LEGS - DEPILADOR DE PIERNA;1;;;;50000
HC19AJ279;GEL EXFOLIANTE;1;;;;25000
HC19AJ414;HAIR CLIPS;1;;;;6000
HC19AJ404;HUMIFICADOR FACIAL- CARGADOR PORTATIL;1;;;;
HC19AJ405;HUMIFICADOR FACIAL- CARGADOR PORTATIL - BLANCO;1;;;;30000
HC19AJ406;HUMIFICADOR FACIAL- CARGADOR PORTATIL - ROSA;1;;;;30000
HC19AJ287;HYDROGEL;1;;;;25000
HC19AJ258;JABON FACIAL PIEL GRASA;1;;;;25000
HC19AJ259;JABON FACIAL PIEL MIXTA O NORMAL;1;;;;25000
HC19AJ278;KIT VIAJERO ROSA;1;;;;15000
HC19AJ79;LABIALES  LIPSTICK CONTOUR MATTE;'-1;;;;25000
HC19AJ407;LAMPARA PARA UÑAS 54W;1;;;;100000
