ID	SKU	Nombre	Publicado	Día en que empieza el precio rebajado	Día en que termina el precio rebajado	Inventario	Precio rebajado	Precio normal
599	SR-08	SOMBRAS THE ROYAL PEACH PALETTE	'-1					60000
603		ILUMINADOR ANASTASIA BEVERLY HILLS	'-1					36000
616		Lavabrochas Brushes Egg	'-1					10000
683		POLVOS L'OR?AL	'-1					
703		LABIALES KYLIE VACATION X12	'-1			9		55000
726		EXTRACTOR PUNTOS NEGROS	'-1					65000
762		CORRECTOR DE OJERAS AGE RE	'-1			96		
769	HC19AJ01	CORRECTOR DE OJERAS AGE RE - Honey	1			1		25000
771	HC19AJ02	DESMAQUILLADOR DE OJOS Y LABIOS	'-1					
774	HC19AJ03	DESMAQUILLADOR DE OJOS Y LABIOS	1			20		45000
776	HC19AJ04	MASCARILLA DE CELULOSA COMPRIMIDA	'-1					2000
889	HC19AJ05	MASCARILLA DE ORO BEAUTY HOST	1			1292		4000
890	HC19AJ06	MASCARILLA DE CARACOL BEAUTY HOST	1			1988		4000
891	HC19AJ07	MASCARILLA CONTROL GRASA BEAUTY HOST	1			1370		4000
892	HC19AJ08	MASCARILLA DE ALOE BEAUTY HOST	1			1225		4000
899	HC19AJ09	CORRECTOR DE OJERAS AGE RE - Medium	1			2		25000
900	HC19AJ10	CORRECTOR DE OJERAS AGE RE - Fair	1					25000
901	HC19AJ11	CORRECTOR DE OJERAS AGE RE - Light	1					25000
902	HC19AJ12	CORRECTOR DE OJERAS AGE RE - Neutralizer	1			0		25000
35089	HC19AJ13	BEAUTY BLENDER	1					
35090	HC19AJ14	NAKED3	'-1			0		20000
35102	HC19AJ15	AQUARIUM GLITTER	'-1					50000
35109	HC19AJ16	SOMBRAS MODERN RENAISSANCE PALETTE	'-1					120000
35113	HC19AJ17	BROCHAS SIRENA ORO	1			90		45000
35120	HC19AJ18	BROCHAS BH CHIC BH COSMETICS	1			226		55000
35123	HC19AJ19	MAQUINA LAVA BROCHAS	1			59		45000
35145	HC19AJ20	MASCARILLA COLAGENO LABIOS	1			6726		3000
35155	HC19AJ21	MASCARILLA PUNTOS NEGROS	1			4591		2000
35161	HC19AJ22	SET KYLIE VACATION X4	'-1					25000
35165	HC19AJ23	PALETA DE CONTOURING HIGHLIGHT & CONTOUR PRO PALETTE	'-1					40000
35171	HC19AJ24	MASAJEADOR FACIAL 5 EN 1 - VIEJO	'-1			20		15000
35177	HC19AJ25	OLLA PARA CERA	1			197		40000
35189	HC19AJ26	POLVOS L'OR?AL	1			0		25000
35193	HC19AJ27	PESTA?INA MAYBELLINE VOLUM' EXTREME THE COLOSSAL + DELINEADOR Y POLVO TRANSLUCIDO	'-1					35000
35234	HC19AJ28	SOMBRA SUGAR SWEETS BEAUTY CREATIONS	'-1			0		40000
35244	HC19AJ29	SOMBRA THE SWEETEST PALETE	'-1					40000
35248	HC19AJ30	GLITTER PRIMER	'-1			1		10000
35258	HC19AJ31	BROCHAS CITY COLOR PHOTO CHIC SET 15PCS	'-1					85000
35264	HC19AJ32	LABIAL SOFT MATTE	1					
35292	HC19AJ33	Polvo Compacto HD Kleancolor	1			79		15000
35295	HC19AJ34	COPPERELLA	'-1					55000
35310	HC19AJ35	LABIALES KYLIE BLACK EDITION X11	'-1					55000
35326	HC19AJ36	BASE PRO MATTE FOUNDATION	1					
35347	HC19AJ37	BASE PRO MATTE FOUNDATION - GLM671	0			0		35000
35348	HC19AJ38	BASE PRO MATTE FOUNDATION - GLM672	0					35000
35349	HC19AJ39	BASE PRO MATTE FOUNDATION - GLM673	0			0		35000
