ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario;Precio rebajado;Precio normal;Meta: _real_price
599;simple;;SOMBRAS THE ROYAL PEACH PALETTE;'-1;visible;;;60000;
603;simple;;ILUMINADOR ANASTASIA BEVERLY HILLS;'-1;visible;;;36000;
616;simple;;Lavabrochas Brushes Egg;'-1;visible;;;10000;
683;variable;;POLVOS L'OR?AL;'-1;visible;;;;
703;simple;;LABIALES KYLIE VACATION X12;'-1;visible;;;55000;
726;simple;;EXTRACTOR PUNTOS NEGROS;'-1;visible;;;65000;
762;variable;;CORRECTOR DE OJERAS AGE RE;'-1;visible;;;;
107763;simple;;AFEITADORA - 2 EN 1;1;visible;100;;65000;
771;variable;;DESMAQUILLADOR DE OJOS Y LABIOS;'-1;visible;;;;
63823;simple;;AGUA DE HAMAMELIS;1;visible;;;11000;
776;simple;;MASCARILLA DE CELULOSA COMPRIMIDA;'-1;visible;;;2000;
63817;simple;;AGUA DE ROSAS;1;visible;;;11000;
52292;variable;;ARO LED SELFIE;1;visible;;;;
52304;variation;;ARO LED SELFIE - BLANCO;1;visible;;;15000;
52300;variation;;ARO LED SELFIE - NEGRO;1;visible;;;15000;
35326;variable;;BASE PRO MATTE FOUNDATION;1;visible;;;;
35357;variation;;BASE PRO MATTE FOUNDATION - GLM682;1;visible;;;35000;
35359;variation;;BASE PRO MATTE FOUNDATION - GLM684;1;visible;;;35000;
104134;variable;;BASE TRULY MATTE L.A COLORS;1;visible;;;;
104256;variation;;BASE TRULY MATTE L.A COLORS - CAFE CLM360;1;visible;;;30000;
35102;simple;;AQUARIUM GLITTER;'-1;visible;;;50000;
35109;simple;;SOMBRAS MODERN RENAISSANCE PALETTE;'-1;visible;;;120000;
104257;variation;;BASE TRULY MATTE L.A COLORS - CAPPUCINO CLM363;1;visible;;;30000;
104258;variation;;BASE TRULY MATTE L.A COLORS - MAHAGANY CLM364;1;visible;;;30000;
104255;variation;;BASE TRULY MATTE L.A COLORS - MEDIUM BEIGE CLM356;1;visible;;;30000;
104254;variation;;BASE TRULY MATTE L.A COLORS - SAND CLM355;1;visible;;;30000;
104253;variation;;BASE TRULY MATTE L.A COLORS - SOFT BEIGE CLM354;1;visible;;;30000;
35161;simple;;SET KYLIE VACATION X4;'-1;visible;;;25000;
35165;simple;;PALETA DE CONTOURING HIGHLIGHT & CONTOUR PRO PALETTE;'-1;visible;;;40000;
35171;simple;;MASAJEADOR FACIAL 5 EN 1 - VIEJO;'-1;visible;;;15000;
35089;variable;;BEAUTY BLENDER;1;visible;;;;
98203;variation;;BEAUTY BLENDER - BEIGE;1;visible;;;15000;
35193;simple;;PESTA?INA MAYBELLINE VOLUM' EXTREME THE COLOSSAL + DELINEADOR Y POLVO TRANSLUCIDO;'-1;visible;;;35000;
35244;simple;;SOMBRA THE SWEETEST PALETE;'-1;visible;;;40000;
35248;simple;;GLITTER PRIMER;'-1;visible;;;10000;
35258;simple;;BROCHAS CITY COLOR PHOTO CHIC SET 15PCS;'-1;visible;;;85000;
98202;variation;;BEAUTY BLENDER - FUCSIA;1;visible;;;15000;
98204;variation;;BEAUTY BLENDER - NEGRO;1;visible;;;15000;
35295;simple;;COPPERELLA;'-1;visible;;;55000;
35310;simple;;LABIALES KYLIE BLACK EDITION X11;'-1;visible;;;55000;
35792;simple;;Brocha para Mascarilla Fucsia;1;visible;;;5000;
35347;variation;;BASE PRO MATTE FOUNDATION - GLM671;0;visible;;;35000;
35348;variation;;BASE PRO MATTE FOUNDATION - GLM672;0;visible;;;35000;
35349;variation;;BASE PRO MATTE FOUNDATION - GLM673;0;visible;;;35000;
35350;variation;;BASE PRO MATTE FOUNDATION - GLM674;0;visible;;;35000;
35351;variation;;BASE PRO MATTE FOUNDATION - GLM675;0;visible;;;35000;
35352;variation;;BASE PRO MATTE FOUNDATION - GLM676;0;visible;;;35000;
