ID	SKU	Nombre	Publicado	Visibilidad en el catálogo	Inventario
599		SOMBRAS THE ROYAL PEACH PALETTE	'-1	visible	
603		ILUMINADOR ANASTASIA BEVERLY HILLS	'-1	visible	
616		Lavabrochas Brushes Egg	'-1	visible	
683		POLVOS L'OR?AL	'-1	visible	
703		LABIALES KYLIE VACATION X12	'-1	visible	
726		EXTRACTOR PUNTOS NEGROS	'-1	visible	
762		CORRECTOR DE OJERAS AGE RE	'-1	visible	
107763		AFEITADORA - 2 EN 1	1	visible	
771		DESMAQUILLADOR DE OJOS Y LABIOS	'-1	visible	
63823		AGUA DE HAMAMELIS	1	visible	
776		MASCARILLA DE CELULOSA COMPRIMIDA	'-1	visible	
63817		AGUA DE ROSAS	1	visible	
35326		BASE PRO MATTE FOUNDATION	1	visible	
104134		BASE TRULY MATTE L.A COLORS	1	visible	
104256		BASE TRULY MATTE L.A COLORS - CAFE CLM360	1	visible	
104257		BASE TRULY MATTE L.A COLORS - CAPPUCINO CLM363	1	visible	
104258		BASE TRULY MATTE L.A COLORS - MAHAGANY CLM364	1	visible	
104255		BASE TRULY MATTE L.A COLORS - MEDIUM BEIGE CLM356	1	visible	
104254		BASE TRULY MATTE L.A COLORS - SAND CLM355	1	visible	
104253		BASE TRULY MATTE L.A COLORS - SOFT BEIGE CLM354	1	visible	
35102		AQUARIUM GLITTER	'-1	visible	
35109		SOMBRAS MODERN RENAISSANCE PALETTE	'-1	visible	
35089		BEAUTY BLENDER	1	visible	
104274		BROCHA PARA MASCARILLA ROSA	1	visible	
119129		BROCHAS BASIC ROSE	1	visible	
119028		BROCHAS BASIC WHITE	1	visible	
35120		BROCHAS BH CHIC BH COSMETICS	1	visible	
35161		SET KYLIE VACATION X4	'-1	visible	
35165		PALETA DE CONTOURING HIGHLIGHT & CONTOUR PRO PALETTE	'-1	visible	
35171		MASAJEADOR FACIAL 5 EN 1 - VIEJO	'-1	visible	
118478		BROCHAS BH CRYSTAL QUARTZ BH COSMETICS	1	visible	
102220		BROCHAS BH GRAY BH COSMETICS	1	visible	
35193		PESTA?INA MAYBELLINE VOLUM' EXTREME THE COLOSSAL + DELINEADOR Y POLVO TRANSLUCIDO	'-1	visible	
35244		SOMBRA THE SWEETEST PALETE	'-1	visible	
35248		GLITTER PRIMER	'-1	visible	
35258		BROCHAS CITY COLOR PHOTO CHIC SET 15PCS	'-1	visible	
102001		BROCHAS BH SIGNATURE ROSSE GOLD WHITE	1	visible	
102228		BROCHAS DIAMANTE DORADO	1	visible	
35295		COPPERELLA	'-1	visible	
