ID,Nombre,Publicado,Visibilidad en el catálogo,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
306847,ÁCIDO HIALURÓNICO - TRATAMIENTO DE MANCHAS Y ARRUGAS,1,visible,MARCA,DOLCE BELLA,1,1,EDAD,45 en adelante,1,1
340216,AGUA MICELAR GARNIER EXPRESS ACLARA 400ML,1,visible,MARCA,GARNIER,1,1,EDAD,45 en adelante,1,1
362439,AGUA MICELAR PURE ACTIVE 400ML,1,visible,MARCA,GARNIER,1,1,EDAD,"35-45,45 en adelante",1,1
216773,BROCHAS CONSTELACIÓN,1,visible,MARCA,GENERICO,1,1,EDAD,"15-25, 25-35",1,1
293107,BROCHAS DELUXE HOLY,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"25-35, 35-45, 45 en adelante",1,1
216805,BROCHAS GLAM,1,visible,MARCA,GENERICO,1,1,EDAD,"25-35, 35-45, 45 en adelante",1,1
342222,BROCHAS MÁRMOL LUXURY HOLY,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"35-45,45 en adelante",1,1
209508,BROCHAS NEON,1,visible,MARCA,GENERICO,1,1,EDAD,15-25,1,1
342243,BROCHAS PROFESSIONAL HOLY,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"15-25, 25-35,35-45",1,1
223443,BROCHAS ROSE GOLD PARA OJOS HOLY,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"35-45,45 en adelante",1,1
310606,BROCHAS ROSET,1,visible,MARCA,GENERICO,1,1,EDAD,45 en adelante,1,1
310238,BROCHAS SNOW,1,visible,MARCA,GENERICO,1,1,EDAD,"35-45,45 en adelante",1,1
342256,BROCHAS WHITE ROSE HOLY,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"35-45,45 en adelante",1,1
343488,CEPILLO SECADOR,1,visible,MARCA,SIN MARCA,1,1,EDAD,"15-25, 25-35",1,1
342271,COSMETIQUERA ROSE HOLY,1,visible,MARCA,HOLY COSMETICS,1,1,EDAD,"25-35, 35-45, 45 en adelante",1,1
107763,DEPILADORA 2 EN 1,1,visible,MARCA,MARSKE,1,1,EDAD,"15-25, 25-35, 35-45,45 en adelante",1,1
