ID;Nombre;Publicado;Visibilidad en el cat‡logo;Categor’as;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1
317817;LAMPARA PARA U„AS 48W ROSA;1;visible;U„AS > Lamparas de u–as, U„AS;MARCA;SUN;1;1
337085;BROCHA PARA MASCARILLA HOLY;1;visible;BROCHAS, CUIDADO FACIAL, BROCHAS > Esponjas &amp;MARCA;HOLY COSMETICS;1;1
357305;BLENDER COLORS ( ESPONJA APLICADORA);1;visible;BROCHAS, BROCHAS > Esponjas &amp;MARCA;SAGUI;1;1
363920;BLENDER ESPONJA APLICADORA FEELS;1;visible;BROCHAS, BROCHAS > Esponjas &amp;MARCA;RUBY ROSE;1;1
367726;SERUM PARA EL CONTORNO DE OJOS;1;visible;CUIDADO FACIAL, CUIDADO FACIAL > Tratamientos faciales;MARCA;KARITƒ;1;1
367730;MASCARILLA DE MIEL HIDRATANTE;1;visible;CUIDADO FACIAL, CUIDADO FACIAL > Mascarillas;MARCA;KARITƒ;1;1
367744;SECADOR REMINGTON THERMACARE PRO;1;visible;CABELLO, CABELLO > Secadores;MARCA;REMINGTON;1;1
367979;PROTECTOR SOLAR SPF50+;1;visible;CUIDADO FACIAL, CUIDADO FACIAL > Tratamientos faciales;MARCA;DOLCE BELLA;1;1
367989;EXFOLIANTE FACIAL DE CARBîN ACTIVADO;1;visible;CUIDADO FACIAL, CUIDADO FACIAL > Tratamientos faciales;MARCA;DOLCE BELLA;1;1
370908;SET DE MO„AS 6 PCS ECO-FRENDLY | NUDE;1;visible;CABELLO > Accesorios Para Cabello, CABELLO;MARCA;HOLY COSMETICS;1;1
370978;JABON FIJADOR PARA CEJAS 3D;1;visible;OJOS > Cejas, OJOS;MARCA;KISS BEAUTY;1;1
371008;SET DE MO„AS 6 PCS ECO-FRENDLY | ZEBRA;1;visible;CABELLO > Accesorios Para Cabello, CABELLO;MARCA;HOLY COSMETICS;1;1
