"ID","Nombre","Publicado","Visibilidad en el catálogo","Precio rebajado","Precio normal","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3","Atributo por defecto 2"
"313112","ACEITE DE ALMENDRAS","1","visible","","14000","MARCA","PILI","1","1","EDAD","35-45, 45 en adelante","1","1","","","","",""
"313787","ACEITE PARA UÑAS","1","visible","","5000","MARCA","OPI","1","1","EDAD","25-35, 35-45","1","1","","","","",""
"306847","ÁCIDO HIALURÓNICO - TRATAMIENTO DE MANCHAS Y ARRUGAS","1","visible","","20000","MARCA","DOLCE BELLA","1","1","EDAD","45 en adelante","1","1","","","","",""
"63823","AGUA DE HAMAMELIS PILI","1","visible","9900","11000","MARCA","PILI","","","","","","","","","","",""
"214093","AGUA DE ROSAS PILI","1","visible","9900","11000","MARCA","PILI","","","","","","","","","","",""
"340216","AGUA MICELAR GARNIER EXPRESS ACLARA 400ML","1","visible","","23000","MARCA","GARNIER","1","1","EDAD","45 en adelante","1","1","","","","",""
"346920","AGUA MICELAR GARNIER SKINACTIVE 100ML","1","visible","","10000","MARCA","GARNIER","1","1","EDAD","15-25, 25-35, 35-45, 45 en adelante","1","1","","","","",""
"337633","AGUA MICELAR GARNIER SKINACTIVE 400ML","1","visible","","26000","MARCA","GARNIER","1","1","EDAD","15-25, 25-35, 35-45, 45 en adelante","1","1","","","","",""
"362439","AGUA MICELAR PURE ACTIVE 400ML","1","visible","","23000","MARCA","GARNIER","1","1","EDAD","35-45, 45 en adelante","1","1","","","","",""
"362195","AGUA TERMAL FRAGANCIA COCO","1","visible","28800","32000","MARCA","RUBY ROSE","1","1","","","","","","","","",""
"362198","AGUA TERMAL SIN FRAGANCIA","1","visible","28800","32000","MARCA","RUBY ROSE","1","1","","","","","","","","",""
"366247","ANILLO DE RESINA PARA UÑAS AURORA","1","visible","","","MARCA","HOLY COSMETICS","1","1","COLOR","BLANCO, ROSA","1","1","EDAD","35-45, 45 en adelante","1","1",""
"366251","ANILLO DE RESINA PARA UÑAS AURORA - BLANCO","1","visible","","8000","COLOR","BLANCO","","1","","","","","","","","",""
"366252","ANILLO DE RESINA PARA UÑAS AURORA - ROSA","1","visible","","8000","COLOR","ROSA","","1","","","","","","","","",""
"366237","ANILLO DE RESINA PARA UÑAS VENICE","1","visible","","","MARCA","HOLY COSMETICS","1","1","COLORES","BLANCO, ROSA","1","1","EDAD","35-45, 45 en adelante","1","1",""
"366241","ANILLO DE RESINA PARA UÑAS VENICE - BLANCO","1","visible","","8000","COLORES","BLANCO","","1","","","","","","","","",""
"366242","ANILLO DE RESINA PARA UÑAS VENICE - ROSA","1","visible","","8000","COLORES","ROSA","","1","","","","","","","","",""
"52292","ARO LED SELFIE","1","visible","","","MARCA","GENERICO","1","1","COLOR","AZUL, BLANCO, NEGRO, ROSA","1","1","EDAD","35-45, 45 en adelante","1","1",""
"52299","ARO LED SELFIE - AZUL","1","visible","","5000","COLOR","AZUL","","1","","","","","","","","",""
"52304","ARO LED SELFIE - BLANCO","1","visible","","5000","COLOR","BLANCO","","1","","","","","","","","",""
"52300","ARO LED SELFIE - NEGRO","1","visible","","5000","COLOR","NEGRO","","1","","","","","","","","",""
"52303","ARO LED SELFIE - ROSA","1","visible","","5000","COLOR","ROSA","","1","","","","","","","","",""
"336141","BALACA CONEJO","1","visible","","12000","MARCA","GENERICO","1","1","","","","","","","","",""
"359710","BALACA POMPON","1","visible","","12000","MARCA","GENERICO","1","1","","","","","","","","",""
"310261","BALLENITA FACIAL","1","visible","","4000","MARCA","GENERICO","1","1","","","","","","","","",""
"182738","BÁLSAMO PARA LABIOS COCONUT LIP MASK","1","visible","","15000","MARCA","BEAUTY TREATS","1","1","","","","","","","","",""
"316888","BANDITAS PARA PUNTOS NEGROS","1","visible","","1000","MARCA","DEAR SHE","1","1","","","","","","","","",""
"340736","BASE LIQUIDA NATURAL LOOK BEGE","1","visible","","","MARCA","RUBY ROSE","1","1","TONO","BEGE 2, BEGE 3, BEGE 4, BEGE 5, BEGE 6, BEGE 7","1","1","EDAD","35-45, 45 en adelante","1","1",""
"340739","BASE LIQUIDA NATURAL LOOK BEGE - BEGE 2","1","visible","","17000","TONO","BEGE 2","","1","","","","","","","","",""
"340740","BASE LIQUIDA NATURAL LOOK BEGE - BEGE 3","1","visible","","17000","TONO","BEGE 3","","1","","","","","","","","",""
"340741","BASE LIQUIDA NATURAL LOOK BEGE - BEGE 4","1","visible","","17000","TONO","BEGE 4","","1","","","","","","","","",""
"340742","BASE LIQUIDA NATURAL LOOK BEGE - BEGE 5","1","visible","","17000","TONO","BEGE 5","","1","","","","","","","","",""
"340743","BASE LIQUIDA NATURAL LOOK BEGE - BEGE 6","1","visible","","17000","TONO","BEGE 6","","1","","","","","","","","",""
"363947","BASE LIQUIDA NATURAL LOOK BEGE - BEGE 7","1","visible","","17000","TONO","BEGE 7","","1","","","","","","","","",""
"340769","BASE LIQUIDA NATURAL LOOK NUDE","1","visible","","","MARCA","RUBY ROSE","1","1","TONO","NUDE 1, NUDE 2, NUDE 3, NUDE 4","1","1","EDAD","35-45, 45 en adelante","1","1",""
"340773","BASE LIQUIDA NATURAL LOOK NUDE - NUDE 1","1","visible","","17000","TONO","NUDE 1","","1","","","","","","","","",""
"340774","BASE LIQUIDA NATURAL LOOK NUDE - NUDE 2","1","visible","","17000","TONO","NUDE 2","","1","","","","","","","","",""
"340775","BASE LIQUIDA NATURAL LOOK NUDE - NUDE 3","1","visible","","17000","TONO","NUDE 3","","1","","","","","","","","",""
"340776","BASE LIQUIDA NATURAL LOOK NUDE - NUDE 4","1","visible","","17000","TONO","NUDE 4","","1","","","","","","","","",""
