599,"SOMBRAS THE ROYAL PEACH PALETTE",'-1,,,,
603,"ILUMINADOR ANASTASIA BEVERLY HILLS",'-1,,,,
616,"Lavabrochas Brushes Egg",'-1,,,,
683,"POLVOS L'OR?AL",'-1,,,,
703,"LABIALES KYLIE VACATION X12",'-1,,,,
726,"EXTRACTOR PUNTOS NEGROS",'-1,,,,
771,"DESMAQUILLADOR DE OJOS Y LABIOS",'-1,,,,
774,"DESMAQUILLADOR DE OJOS Y LABIOS",'-1,,,,
776,"MASCARILLA DE CELULOSA COMPRIMIDA",'-1,,,,
889,"MASCARILLA DE ORO BEAUTY HOST",1,MARCA,"BEAUTY HOST",1,1
890,"MASCARILLA DE CARACOL BEAUTY HOST",1,MARCA,"BEAUTY HOST",1,1
891,"MASCARILLA CONTROL GRASA BEAUTY HOST",1,MARCA,"BEAUTY HOST",1,1
892,"MASCARILLA DE ALOE BEAUTY HOST",1,MARCA,"BEAUTY HOST",1,1
35089,"BEAUTY BLENDER",'-1,,,,
35102,"AQUARIUM GLITTER",'-1,,,,
35109,"SOMBRAS MODERN RENAISSANCE PALETTE",'-1,,,,
35113,"BROCHAS SIRENA ORO",'-1,,,,
35120,"BROCHAS BH CHIC",'-1,,,,
35123,"MAQUINA LAVA BROCHAS",'-1,,,,
35145,"MASCARILLA COLAGENO PARA LABIOS",'-1,,,,
35155,"MASCARILLA PUNTOS NEGROS PILATEN",1,MARCA,PILATEN,1,1
35161,"SET KYLIE VACATION X4",'-1,,,,
35165,"PALETA DE CONTOURING HIGHLIGHT & CONTOUR PRO PALETTE",'-1,,,,
35171,"MASAJEADOR FACIAL 5 EN 1 - VIEJO",'-1,,,,
35177,"OLLA PARA CERA",'-1,,,,
35189,"POLVOS L'OR?AL",'-1,,,,
35244,"SOMBRA THE SWEETEST PALETE",'-1,,,,
35248,"GLITTER PRIMER",'-1,,,,
35258,"BROCHAS CITY COLOR PHOTO CHIC SET 15PCS",'-1,,,,
35292,"Polvo Compacto HD Kleancolor",'-1,,,,
35295,COPPERELLA,'-1,,,,
35310,"LABIALES KYLIE BLACK EDITION X11",'-1,,,,
35326,"BASE PRO MATTE FOUNDATION",'-1,,,,
35347,"BASE PRO MATTE FOUNDATION",'-1,,,,
35348,"BASE PRO MATTE FOUNDATION",'-1,,,,
35349,"BASE PRO MATTE FOUNDATION",'-1,,,,
35350,"BASE PRO MATTE FOUNDATION",'-1,,,,
35351,"BASE PRO MATTE FOUNDATION",'-1,,,,
35352,"BASE PRO MATTE FOUNDATION",'-1,,,,
35353,"BASE PRO MATTE FOUNDATION",'-1,,,,
35354,"BASE PRO MATTE FOUNDATION",'-1,,,,
35355,"BASE PRO MATTE FOUNDATION",'-1,,,,
35356,"BASE PRO MATTE FOUNDATION",'-1,,,,
35357,"BASE PRO MATTE FOUNDATION",'-1,,,,
35358,"BASE PRO MATTE FOUNDATION",'-1,,,,
35359,"BASE PRO MATTE FOUNDATION",'-1,,,,
35361,"BASE PRO MATTE FOUNDATION",'-1,,,,
35404,"SOMBRAS ELSA",'-1,,,,
35414,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35423,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35425,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35426,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35427,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35428,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35429,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35430,"ESSENTIAL BRUSH COLLECTION",'-1,,,,
35471,"PORELESS FACE PRIMER",'-1,,,,
35475,"CORRECTOR PRO CONCEALER",'-1,,,,
35476,"CORRECTOR PRO CONCEALER",'-1,,,,
35477,"CORRECTOR PRO CONCEALER",'-1,,,,
35478,"CORRECTOR PRO CONCEALER",'-1,,,,
35479,"CORRECTOR PRO CONCEALER",'-1,,,,
35480,"CORRECTOR PRO CONCEALER",'-1,,,,
35481,"CORRECTOR PRO CONCEALER",'-1,,,,
35482,"CORRECTOR PRO CONCEALER",'-1,,,,
35503,"FIJADOR CONTROL MATTE VIEJO",'-1,,,,
35513,"POMADA DE CEJAS",'-1,,,,
35514,"POMADA DE CEJAS",'-1,,,,
35515,"POMADA DE CEJAS",'-1,,,,
35516,"POMADA DE CEJAS",'-1,,,,
35517,"POMADA DE CEJAS",'-1,,,,
35518,"POMADA DE CEJAS",'-1,,,,
35519,"POMADA DE CEJAS",'-1,,,,
35528,"LAVABROCHAS EN SECO",'-1,,,,
35538,"COMBO PLANCHA + RIZADOR",'-1,,,,
35540,"COMBO PLANCHA + RIZADOR",'-1,,,,
35541,"COMBO PLANCHA + RIZADOR",'-1,,,,
35542,"COMBO PLANCHA + RIZADOR",'-1,,,,
35719,"BROCHAS BH ROSE ROMANCE BH COSMETICS",'-1,,,,
35784,"MASCARILLA COLAGENO PARA OJOS",'-1,,,,
35792,"BROCHA PARA MASCARILLA FUCSIA",'-1,,,,
35821,"COMBO AMOR #1",'-1,,,,
35824,"COMBO AMOR #2",'-1,,,,
35826,"COMBO AMOR #3",'-1,,,,
35937,"COMBO PRINCESA",'-1,,,,
35941,"COMBO UNICORNIO",'-1,,,,
35943,"COMBO DIAMANTE",'-1,,,,
35944,"COMBO SIRENA",'-1,,,,
35973,"COMBO SIRENA ROSA",'-1,,,,
35978,"COMBO #2",'-1,,,,
35979,"COMBO #4",'-1,,,,
35980,"COMBO ARCOIRIS",'-1,,,,
36022,"BROCHAS SIRENA",'-1,,,,
36029,"POLVO TRASLUCIDO BANANA 1",'-1,,,,
36036,"EXTRACTOR PUNTOS NEGROS 2",'-1,,,,
36051,"COMBO FACIAL",'-1,,,,
36054,"COMBO SIRENA BAKED",'-1,,,,
36123,"MASAJEADOR FACIAL 4 EN 1",1,MARCA,GENERICO,1,1
36161,"EXTRACTOR PUNTOS NEGROS 1",'-1,,,,
36201,"COMBO AGUA",'-1,,,,
36203,"COMBO CALI",'-1,,,,
36237,"COMBO CUIDADO FACIAL",'-1,,,,
36242,"COMBO GLITTER",'-1,,,,
36243,"COMBO DONA",'-1,,,,
36244,"COMBO BAKED",'-1,,,,
36262,"PESTAÑINA THE COLOSSAL VOLUM'EXPRESS",1,MARCA,MAYBELLINE,1,1
36305,"COMBO BANANA",'-1,,,,
36311,"COMBO FACIAL",'-1,,,,
36312,"COMBO BAKED",'-1,,,,
36313,"COMBO SIRENA",'-1,,,,
36314,"COMBO COSMETICS",'-1,,,,
36404,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36405,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36406,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36407,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36408,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36409,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36410,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36411,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36412,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36413,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36414,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36415,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36416,"CORRECTOR INSTANT AGE REWIND ERASER TREATMENT",'-1,,,,
36599,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36611,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36612,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36613,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36614,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36615,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36616,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36617,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36618,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36619,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36620,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36621,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
36622,"CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE",'-1,,,,
37048,"COMBO DIAMANTE ARCOIRIS",'-1,,,,
37050,"COMBO DIAMANTE AZUL",'-1,,,,
37053,"COMBO FACIAL ROSA",'-1,,,,
37058,"COMBO SUGAR",'-1,,,,
37324,"ILUMINADOR BRONCEADOR SHIMMER POWDER",'-1,,,,
37329,"ILUMINADOR BRONCEADOR SHIMMER POWDER",'-1,,,,
37330,"ILUMINADOR BRONCEADOR SHIMMER POWDER",'-1,,,,
37331,"ILUMINADOR BRONCEADOR SHIMMER POWDER",'-1,,,,
37445,"MAGIC BRA",'-1,COPA,"A, B, C, D",1,0
37477,"DEPILADOR FACIAL - RECARGABLE",'-1,,,,
37492,"DEPILADOR FACIAL - PILA",'-1,,,,
37878,"COMBO MASCARA",'-1,,,,
37882,"COMBO BARELYNUDE",'-1,,,,
37888,"COMBO SHIMMER",'-1,,,,
37890,"COMBO CUIDADO FACIAL",'-1,,,,
39246,"COMBO NEGRO",'-1,,,,
39248,"COMBO WAX",'-1,,,,
39251,"COMBO SHINY",'-1,,,,
39257,"COMBO COLOSSAL",'-1,,,,
39261,"COMBO CARACOL",'-1,,,,
39267,"COMBO BH",'-1,,,,
39317,"EXTRACTOR DE PUNTOS NEGROS DIGITAL",'-1,,,,
39396,"PESTAÑINA LASH SENSATIONAL",1,MARCA,MAYBELLINE,1,1
39434,"BEAUTY BLENDER SNAPCHIC",'-1,,,,
39458,"COMBO LUNA",'-1,,,,
39460,"COMBO REAL NUDE",'-1,,,,
39462,"COMBO DEPILADOR",'-1,,,,
39464,"COMBO BEAUTY",'-1,,,,
39912,"SOMBRAS RETURN OF THE JET EYESHADOWS -BOOK 4",'-1,,,,
39925,"SOMBRA THE BADASS RUDEGIRL - BOOK 6",'-1,,,,
39927,"SOMBRA The Rude AWAKENING - Book 5",'-1,,,,
41443,"BROCHAS CONCHA",'-1,,,,
43169,"PAPEL DE ARROZ",'-1,,,,
46032,"LETRERO LED A5 MEDIANO",'-1,,,,
46037,"LETRERO LED A4 GRANDE",'-1,,,,
47880,"PAPEL DE ARROZ BESTY",'-1,,,,
50378,"BROCHAS SEMIPROFESIONAL 18 PCS - viejo",'-1,,,,
50508,"PALETA DE CORRECTORES DEL COLOR COLOUR CORRECTING PALETTE",'-1,,,,
50522,"CEPILLO PARA CEJAS O PESTAÑAS GLITTER 10PCS",1,MARCA,GENERICO,1,1
50826,"BROCHAS ORO ROSA",'-1,,,,
51182,"COMBO CONCHA",'-1,,,,
51189,"COMBO DEPILADOR CRYSTAL",'-1,,,,
51193,"COMBO SUMMER",'-1,,,,
52250,"Smoke ?n Mirrors",'-1,,,,
52292,"ARO LED SELFIE",1,MARCA,GENERICO,1,1
52299,"ARO LED SELFIE",1,,,,
52300,"ARO LED SELFIE",1,,,,
52303,"ARO LED SELFIE",1,,,,
52304,"ARO LED SELFIE",1,,,,
62219,"COMBO FACIAL GLITTER",'-1,,,,
62221,"COMBO ARCOIRIS",'-1,,,,
62223,"COMBO ESPECIAL",'-1,,,,
62225,"COMBO PLATA",'-1,,,,
62227,"COMBO ROSE",'-1,,,,
62232,"COMBO SKIN",'-1,,,,
63327,"DESMAQUILLADOR DUAL",'-1,,,,
63342,"SUERO FACIAL",1,MARCA,"DOLCE BELLA",1,1
63346,"BRUSH CRUSH",'-1,,,,
63659,"COSMETIQUERA TORNASOL",'-1,,,,
63661,"COSMETIQUERA TORNASOL",'-1,,,,
63669,"COSMETIQUERA TORNASOL",'-1,,,,
63688,"ROSA TORNASOL",'-1,,,,
63721,"PESTAÑAS 3D",'-1,,,,
63726,"COMBO OLLA 500 GR",'-1,,,,
63817,"AGUA DE ROSAS PILI VIEJO",'-1,,,,
63823,"AGUA DE HAMAMELIS PILI",1,MARCA,PILI,1,1
63831,"JABON FACIAL PIEL GRASA",1,MARCA,PILI,1,1
63833,"JABON FACIAL PIEL MIXTA O NORMAL",1,MARCA,PILI,1,1
63838,"EXTRACTOR DE PUNTOS NEGROS CON SPRAY DE MICRONIZACIÓN",'-1,,,,
63913,"COMBO BEAUTY",'-1,,,,
63917,"COMBO CLEANING ROSAS",'-1,,,,
63919,"COMBO CONTROL OIL",'-1,,,,
63923,"COMBO FACIAL ROSE",'-1,,,,
63928,"COMBO LASH",'-1,,,,
63936,"COMBO TORNASOL",'-1,,,,
64351,"ESPEJO LED",'-1,,,,
64354,"ESPEJO LED",'-1,,,,
64355,"ESPEJO LED",'-1,,,,
64356,"ESPEJO LED",'-1,,,,
64684,"PLANCHA REMINGTON AGUACATE CON MACADAMIA",1,,,,
64700,"PLANCHA REMINGTON ACEITE DE ARGAN",1,MARCA,REMINGTON,1,1
64705,"PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO",1,MARCA,REMINGTON,1,1
64715,"PLANCHA REMINGTON PRO-ION ANTIFRIZZ",'-1,,,,
64737,"PLANCHA REMINGTON KERATINA Y ARGAN",1,MARCA,REMINGTON,1,1
65375,"KIT VIAJERO ROSA",1,MARCA,GENERICO,1,1
65439,"GEL EXFOLIANTE",1,MARCA,PILI,1,1
65608,"COMBO PILI ROSA",'-1,,,,
65610,"COMBO PILI HAMAMELIS",'-1,,,,
65614,"COMBO SAUNA",'-1,,,,
65616,"COMBO CHIC",'-1,,,,
65619,"COMBO LUNA BELLA",'-1,,,,
65621,"COMBO BRONCE",'-1,,,,
65989,HYDROGEL,1,MARCA,PILI,1,1
65995,"POMADA PARA CEJAS Y PESTAÑAS CILKA",1,MARCA,CILKA,1,1
67924,"COMBO MIRROR",'-1,,,,
68628,"FLAWLESS LEGS - DEPILADOR DE PIERNA",'-1,,,,
69718,"FLAWLESS BROWS - DEPILADOR DE CEJAS PILA",'-1,,,,
71416,"COMBO FLAW",'-1,,,,
71426,"COMBO DEPILADOR",'-1,,,,
71584,"BROCHAS MARMOL",'-1,,,,
