id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
340724,"POLVO TRANSLUCIDO FEELS","El polvo translucido tiene un acabado matte, una textura ultrafina y ligera que disimula pequeñas imperfecciones, dejando la piel seca y libre de grasa. ¡Se adapta a todos los tonos de piel. **Libre de crueldad animal**",http://local.holy.com/tienda/polvo-translucido-feels/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340724,http://local.holy.com/wp-content/uploads/2020/09/Polvo-translucido-feels-By-ruby-rose-Holy-cosmetics.jpg,"in stock","COP 16000.00",491,,,,no,New,
340216,"AGUA MICELAR GARNIER EXPRESS ACLARA 400ML","El agua micelar te ayudar en tu limpieza facial y se convertirá en tu favorita, no irrita y está libre de perfume y parabenos. Contiene vitamina C para disminuir con el uso las manchas en el rostro.  Remueve impurezas y maquillaje  Ideal para todo tipo de piel.  No irrita. Libre de perfume y parabenos. Gracias a la tecnología micelar de su fórmula, captura las impurezas como un imán. **Lava el rostro después de su uso**",http://local.holy.com/tienda/agua-micelar-garnier-express-aclara-400ml/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340216,http://local.holy.com/wp-content/uploads/2020/09/Agua-micelar-de-garnier-express-aclara-400-ml-Holy-cosmetics.jpg,"in stock","COP 28000.00",491,,,,no,New,
340208,"CORRECTOR PERFECT SILKY","Corrector de ojeras B10 perfect silky Beauty Glazed Textura profesional, totalmente matte. Cobertura: ultra alta, ideal para todo tipo de piel. Fácil difuminado con brocha o esponja. Como primer de ojos también es un excelente producto y funciona como los productos de alta gama. Waterproof Perfecto para climas cálidos ya que su duración es de TODO el día sin cuartearse. ***Libre de crueldad animal***",http://local.holy.com/tienda/corrector-perfect-silky/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340208,http://local.holy.com/wp-content/uploads/2020/09/Corrector-perfect-silky-Beauty-glazed-Holy-cosmetics.jpg,"in stock","COP 12000.00",491,,,,no,New,
340187,"PRIMER FINE CON COLAGENO","Consigue un acabado uniforme y por mas tiempo en tu maquillaje con el Primer fine con colageno y elastina By Kiss Beauty. Matifica, hidrata,fija y reduce la apariencia de los poros. Formula en gel ligera. Perfecto para todo tipo de piel. *Libre de crueldad animal* ",http://local.holy.com/tienda/primer-fine-con-colageno/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340187,http://local.holy.com/wp-content/uploads/2020/09/Primer-fine-con-colageno-Holy-cosmetics.jpg,"in stock","COP 20000.00",491,,,,no,New,
340177,"PESTAÑINA LASH  SENSATIONAL WATERPROOF","¿Sabías que tus pestañas crecen en mas de una capa? Esta máscara despliega capa a capa tus pestañas y crea un efecto abanico. La fórmula líquida fresca de esta mascara a prueba de agua captura las pestañas de la raíz a la punta para crear un efecto de abanico abierto sensacional.",http://local.holy.com/tienda/pestanina-lash-sensational-waterproof/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340177,http://local.holy.com/wp-content/uploads/2020/09/Pestañina-lash-sensational-waterproof-Holy-cosmetics.jpg,"in stock","COP 32000.00",491,,,,no,New,
340163,"PRIMER SPRAY","El primer spray by ushas ofrece hidratacion profunda y largan duracion al maquillaje, prepara la superficie de tu piel para cualquier tipo de producto. Ideal para todo tipo de piel. Formula ligera. **Libre de crueldad animal**",http://local.holy.com/tienda/primer-spray/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340163,http://local.holy.com/wp-content/uploads/2020/09/Primer-spray-by-ushas-Holy-cosmetics.jpg,"in stock","COP 16000.00",491,,,,no,New,
340157,"FIJADOR MAKE UP SETTING SPRAY","Ideal para lograr un efecto más duradero en tu look, lo mejor es que sus componente brindan  un acabado matte. Ideal para todo tipo de piel. Matifica. Prolonga la duración del maquillaje. ***Libre de crueldad animal***",http://local.holy.com/tienda/fijador-make-up-setting-spray/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340157,http://local.holy.com/wp-content/uploads/2020/09/Fijador-make-up-setting-spray-ushas-Holy-cosmetics.jpg,"in stock","COP 16000.00",491,,,,no,New,
340145,"SOMBRA NOTEBOOK 03 MARRON","La sombra COLOR NOTEBOOK By Novo es una combinación perfecta para recrear tus mejores looks de día o noche . 3 Tonos matte. 5 Tonos satinados. 1 Glitter. Alta pigmentación, calidad profesional. *Libre de crueldad animal*",http://local.holy.com/tienda/sombra-notebook-03-marron/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340145,http://local.holy.com/wp-content/uploads/2020/09/Sombra-novo-notebook-marron-03-Holy-cosmetics.jpg,"in stock","COP 25000.00",491,,,,no,New,
340132,"SOMBRA NOTEBOOK 01 NUDE","La sombra COLOR NOTEBOOK By Novo es una combinación perfecta para recrear tus mejores looks de día o noche . 6 Tonos matte. 2 Tonos satinados. 1 Glitter. Alta pigmentación, calidad profesional. *Libre de crueldad animal*",http://local.holy.com/tienda/sombra-notebook-01-nude/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340132,http://local.holy.com/wp-content/uploads/2020/09/Sombra-notebook-novo-01-nude-Holy-cosmetics.jpg,"in stock","COP 25000.00",491,,,,no,New,
340121,"BROW STYLING SOAP (JABÓN PARA CEJAS)","Las llamadas  soap brows  o  cejas de jabón son la nueva tendencia de belleza y este producto es perfecto para lograr este efecto en tus cejas. Ideal para crear tu look con cejas orgánicas. Incluye cepillo aplicador. **Libre de crueldad animal**",http://local.holy.com/tienda/brow-styling-soap-jabon-para-cejas/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=340121,http://local.holy.com/wp-content/uploads/2020/09/Brow-styling-soap-ucanbe-Holy-cosmetics.jpg,"in stock","COP 15000.00",491,,,,no,New,
